Date:	Work Date				
From:	3/1/2015				
To:	3/14/2015				
					
Work Date	Out	Reg Hrs	OT Hrs	Misc Hrs	Expenses
Contingent Worker:	John Thompson				
3/3/2015	6:00 PM	8.50	0.00	0.00	0.00
3/4/2015	6:00 PM	8.00	0.00	0.00	0.00
3/5/2015	6:00 PM	8.50	0.00	0.00	0.00
3/6/2015	6:00 PM	8.50	0.00	0.00	0.00
3/7/2015	3:30 PM	6.50	0.00	0.00	0.00
3/10/2015	6:00 PM	8.50	0.00	0.00	0.00
3/11/2015	6:00 PM	8.50	0.00	0.00	0.00
3/12/2015	6:00 PM	6.00	0.00	0.00	0.00
3/13/2015	6:00 PM	8.50	0.00	0.00	0.00
3/14/2015	6:00 PM	8.50	0.00	0.00	0.00
Number of Record(s):	10	80.00	0.00	0.00	0.00
Contingent Worker:	Bob Johnson				
3/3/2015	6:00 PM	9.50	0.00	0.00	0.00
3/4/2015	6:00 PM	8.00	0.00	0.00	0.00
3/5/2015	6:00 PM	8.50	0.00	0.00	0.00
3/6/2015	5:00 PM	7.50	0.00	0.00	0.00
3/7/2015	3:00 PM	6.00	0.00	0.00	0.00
3/10/2015	6:00 PM	8.50	0.00	0.00	0.00
3/11/2015	6:00 PM	8.50	0.00	0.00	0.00
3/12/2015	6:00 PM	6.00	0.00	0.00	0.00
3/13/2015	6:00 PM	8.50	0.00	0.00	0.00
3/14/2015	6:00 PM	8.50	0.00	0.00	0.00
Number of Record(s):	10	79.50	0.00	0.00	0.00
