Date:	Work Date						
From:	3/29/2015						
To:	4/11/2015						
							
Work Date	Out	Reg Hrs	OT Hrs	Misc Hrs	Expenses		
Contingent Worker:	John Thompson						
3/31/2015	5:00 PM	7.00	0.00	0.00	0.00		
4/1/2015	6:15 PM	8.25	0.00	0.00	0.00		
4/2/2015	4:15 PM	6.25	0.00	0.00	0.00		
4/3/2015	4:30 PM	6.50	0.00	0.00	0.00		
4/4/2015	7:00 PM	9.00	0.00	0.00	0.00		
4/7/2015	6:00 PM	8.00	0.00	0.00	0.00		
4/8/2015	4:15 PM	6.25	0.00	0.00	0.00		
4/9/2015	3:30 PM	5.50	0.00	0.00	0.00		
4/10/2015	6:30 PM	8.50	0.00	0.00	0.00		
4/11/2015	3:15 PM	5.25	0.00	0.00	0.00		
Number of Record(s):	10	70.50	0.00	0.00	0.00		
Contingent Worker:	Bob Johnson						
3/31/2015	3:15 PM	5.25	0.00	0.00	0.00		
4/1/2015	3:45 PM	5.75	0.00	0.00	0.00		
4/2/2015	6:45 PM	8.75	0.00	0.00	0.00		
4/3/2015	3:00 PM	5.00	0.00	0.00	0.00		
4/4/2015	4:00 PM	6.00	0.00	0.00	0.00		
4/7/2015	3:45 PM	5.75	0.00	0.00	0.00		
4/8/2015	5:45 PM	7.75	0.00	0.00	0.00		
4/9/2015	5:45 PM	7.75	0.00	0.00	0.00		
4/10/2015	4:15 PM	6.25	0.00	0.00	0.00		
4/11/2015	3:45 PM	5.75	0.00	0.00	0.00		
Number of Record(s):	10	64.00	0.00	0.00	0.00		
